"filename", "language", "JavaScript", "JSON", "Python", "pip requirements", "XML", "Markdown", "ui", "JavaScript JSX", "PostCSS", "Qrc", "HTML", "Dotenv", "Ini", "comment", "blank", "total"
"c:\Users\Pichau\Documents\Unique\frontend\src\components\Options.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 7, 6, 56
"c:\Users\Pichau\Documents\Unique\frontend\src\components\ProdutoData.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 17, 148
"c:\Users\Pichau\Documents\Unique\frontend\src\components\User.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Pichau\Documents\Unique\frontend\src\context\CarinhoContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pichau\Documents\Unique\frontend\src\hooks\estabelecimento.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"c:\Users\Pichau\Documents\Unique\frontend\src\hooks\pedidos.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"c:\Users\Pichau\Documents\Unique\frontend\src\hooks\useCarrinho.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 89
"c:\Users\Pichau\Documents\Unique\frontend\src\hooks\useProdutos.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Pichau\Documents\Unique\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Pichau\Documents\Unique\frontend\src\pages\Finalizacao.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 246, 0, 0, 0, 0, 0, 7, 34, 287
"c:\Users\Pichau\Documents\Unique\frontend\src\pages\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 7, 3, 40
"c:\Users\Pichau\Documents\Unique\frontend\src\styles\Button_market.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pichau\Documents\Unique\frontend\src\styles\Carrinho.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 223, 0, 0, 0, 0, 1, 40, 264
"c:\Users\Pichau\Documents\Unique\frontend\src\styles\Footer.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Pichau\Documents\Unique\frontend\src\styles\HomePage.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 429, 0, 0, 0, 0, 3, 67, 499
"c:\Users\Pichau\Documents\Unique\frontend\src\styles\Options.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 1, 8, 67
"c:\Users\Pichau\Documents\Unique\frontend\src\styles\Pedidos.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pichau\Documents\Unique\frontend\src\styles\ProdutoData.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 524, 0, 0, 0, 0, 4, 76, 604
"c:\Users\Pichau\Documents\Unique\frontend\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\Pichau\Documents\Unique\requirements.txt", "pip requirements", 0, 0, 0, 325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 325
"Total", "-", 189, 3311, 22493, 350, 39, 9, 4550, 781, 1246, 15, 17, 1, 190, 521, 1595, 35307
